Rank,Company Name,3 Year Growth,Industry,State,City
123,Preferred Technology,1546%,,California,San Francisco
124,Country Peddlers and Co. of America,1531%,,Illinois,Tinley Park
125,First Source International,1527%,,California,Aliso Viejo
126,Pen Group, Inc.,1527%,,Missouri,Springfield
127,McAlisters Gourmet Deli,1513%,,Mississippi,Oxford
128,Corporate Telemanagement Group,1491%,,South Carolina,Greenville
129,Precision Computer Service,1475%,,Oklahoma,Oklahoma City
130,PharMingen,1470%,,California,San Diego
131,McDonald Mobile Homes,1445%,,Oklahoma,Tulsa
132,Computer Professionals,1437%,,South Carolina,Lake Wylie
133,Buztronics,1428%,,Indiana,Indianapolis
134,Zeller Electric of Buffalo,1412%,,New York,Buffalo
135,Accura Fiberglass Products,1400%,Construction,Texas,Madisonville
136,Woodstock International,1399%,,Washington,Bellingham
137,COMSO,1378%,,Maryland,Greenbelt
138,Homefix Custom Remodeling,1375%,,Maryland,Baltimore
139,EnSafe,1374%,,Tennessee,Memphis
140,Contract Manufacturer,1364%,,Oklahoma,Madill
141,Marketing & Research Resources,1360%,,Maryland,Frederick
142,Medimetrix Group,1358%,,Ohio,Cleveland
143,R.J. Gordon & Co.,1357%,,California,Los Angeles
144,GI Apparel,1351%,,New Jersey,Farmingdale
145,White Line Trucking,1348%,,Florida,Jacksonville
146,Executive Presentations.,1348%,,Maryland,Rockville
147,Dasco Companies,1340%,,Florida,West Palm Beach
148,Choate Construction Co.,1335%,,Georgia,Marietta
149,Fitigues,1329%,,Illinois,Chicago
150,Jeffries Technologies,1323%,,California,Los Angeles
151,Encore Productions,1318%,,Nevada,Las Vegas
152,E.M.C. Automation Inc.,1309%,,Texas,Austin
153,Smart Modular Technologies,1305%,,California,Fremont
154,Everyday Learning,1295%,,Illinois,Chicago
155,Teltrust,1289%,Business Products & Services,Utah,Salt Lake City
156,Novare Services,1285%,,Ohio,Cincinnati
157,Executive Systems and Software,1279%,,Wisconsin,Middleton
158,Medical Equipment Repair Services,1268%,,Florida,Sarasota
159,DocuSource,1264%,,California,Cerritos
160,Zaske, Sarafa & Associates,1256%,,Michigan,Birmingham
161,Zitter Group,1250%,,California,San Francisco
162,Correction Management Affiliates,1249%,,Tennessee,Nashville
163,Softsense Computer Products,1249%,,Georgia,Alpharetta
164,Value Added Distribution,1245%,,Maryland,Gaithersburg
165,SBA,1239%,,Florida,Boca Raton
166,National Patient Care Systems,1238%,,New Jersey,S. Hackensack
167,Best Personalized Books,1233%,,Texas,Dallas
168,Lyon Company,1233%,,Utah,Salt Lake City
169,Pacific Construction Management,835%,,California,Riverside
170,Hot Topic,1224%,,California,Pomona
171,Waldec Group,1220%,,Florida,Tampa
172,Morningstar,1212%,,Illinois,Chicago
173,Adams & Reynolds,1211%,,Ohio,Middleburg Heights
174,Jelyn Associates/Old Glory,1207%,,Pennsylvania,West Point
175,Dine-A-Mate,1202%,,New York,Binghamton
176,King Technologies,1200%,,Tennessee,Trenton
177,AAA Financial Corporation,1199%,,Florida,Coral Springs
178,Kestrel Associates,1196%,,Virginia,Falls Church
179,SETA Corp.,1199%,,Virginia,McLean
180,Rasna Corporation,1193%,,California,San Jose
181,Advanced Engineering & Research Associates,1192%,,Virginia,Arlington
182,TPL, Inc.,1186%,,New Mexico,Albuquerque
183,Midcom Communications,1185%,,Washington,Seattle
184,Austin Roofers Supply,1183%,,Texas,Austin
185,EMCON Associates,1169%,Financial Services,New Jersey,Brick
186,Kellaway Transportation,1166%,,Massachusetts,Randolph
187,Personal Creations,1165%,,Illinois,Willowbrook
188,HCFS,1162%,,Texas,Dallas
189,Overman Marketing Services,1161%,,Florida,Jacksonville
190,Dapru,1147%,,California,San Francisco
191,Flexible Plan Investments,1141%,,Michigan,Bloomfield Hills
192,LBS Capital Management,1134%,,Florida,Clearwater
193,Whitlock,1129%,,Virginia,Richmond
194,Bluestone Consulting,1127%,,New Jersey,Mt. Laurel
195,Seek Consulting,1126%,Business Products & Services,Massachusetts,Wakefield
196,Protek Electronics,1126%,,Florida,Sarasota
197,Hart Brewing,1125%,,Washington,Seattle
198,SourceOne Computer Corp.,1123%,,California,Campbell
199,Daryan International,1123%,,California,Montebello
200,Matrix Health Care Services,1108%,,Michigan,Lansing
201,CardSystems,1094%,,Texas,Dallas
202,Associated Insurance & Financial Group,1091%,,New York,Syracuse
203,Russ Thomas Construction,1091%,,Ohio,Cincinnati
204,TOPS Malibu, Inc.,1088%,,Oregon,Eugene
205,Evolving Systems,1088%,Human Resources,Colorado,Englewood
206,Corporate Health Dimensions,1087%,,New York,Troy
207,Cambridge Equity Advisors,1077%,,Tennessee,Brentwood
208,ATS Services (Jacksonville, FL),1071%,,Florida,Jacksonville
209,Diversified Data Products,1071%,,Michigan,Ann Arbor
210,Ace Personnel,1066%,,Kansas,Overland Park
211,Staffing Inc.,1065%,,Michigan,Grand Rapids
212,Provalco,1058%,,Texas,Houston
213,Viking Components,1058%,,California,Laguna Hills
214,Ex Officio,1050%,,Washington,Seattle
215,Alpine Computer Systems,1048%,,Massachusetts,Holliston
216,Milcom International,1048%,,California,Irvine
217,Collins/Reisenbichler Architects,1046%,,Texas,Dallas
218,Brink Process Systems,1045%,,Georgia,Atlanta
219,Smith & Associates International,1045%,,Texas,Houston
220,Now Software,1045%,,Oregon,Portland
221,Rockies Brewing Company,1038%,,Colorado,Boulder
222,AEgis Research Corporation,1036%,,Alabama,Huntsville
223,Microsystems Software,1029%,,Massachusetts,Framingham
224,Key Medical Supply,1027%,,Louisiana,Thibodaux
225,Dynamic Cooking Systems,1023%,Business Products & Services,California,Los Alamitos
226,Sterling Direct,1019%,,Missouri,Earth City
227,Operational Technologies,1018%,,Texas,San Antonio
228,Roose-Bezuyen,1013%,,Arizona,Phoenix
229,Barber Martin Agency,1009%,,Virginia,Richmond
230,Wintriss Engineering Corp.,1004%,,California,San Diego
231,Magnum Technologies,996%,,Illinois,Fairview Heights
232,Herald Pharmacal,996%,,Virginia,Colonial Heights
233,TeleMark,979%,,Oregon,Portland
234,Parts Now!,975%,,Wisconsin,Madison
235,Project Corporation,969%,,California,Los Angeles
236,CSSI - Computer Support Services,962%,,Texas,Irving
237,Response Health Care Information Management,959%,,Rhode Island,East Greenwich
238,Platinum Entertainment,958%,,Illinois,Downers Grove
239,Enterprise Networking Systems,954%,,California,Redwood City
240,Computer Systems International,954%,,Virginia,Chesapeake
241,Direct Impact Company,947%,,Virginia,Alexandria
242,AGF Direct Gas Sales,942%,,New Hampshire,Manchester
243,Halton Company,937%,,Kentucky,Glasgow
244,CME Information Services,936%,,New Jersey,Mt. Laurel
245,Perkem Technology,927%,,North Carolina,Charlotte
246,Capitol Business Systems,924%,,Texas,Austin
247,Virtual Services,923%,,Michigan,Rochester Hills
248,Linderlake Corporation,918%,,Illinois,Alsip
249,D.X.I.,917%,,Pennsylvania,Pittsburgh
250,Grand Aire Express,916%,,Michigan,Monroe
251,Chiptec,915%,,Alabama,Decatur
252,Stormfront Studios,915%,,California,San Rafael
253,Paria Group,908%,,Utah,Orem
254,Applied Manufacturing Technology,903%,,Utah,Orem
255,Comstock Homes,893%,,Virginia,McLean
256,Family Advocacy Services,891%,,Maryland,Catonsville
257,Burr Wolff Corporation,889%,,Texas,Houston
258,Pacific Foam Tech.,889%,,California,Ventura
259,Cellular 2001 of New England,888%,,Massachusetts,Peabody
260,ERM Program Management Company,884%,,Pennsylvania,Exton
261,UNITEL,884%,,Massachusetts,Canton
262,Dynamic Resources (Atlanta, GA),871%,,Georgia,Atlanta
263,Healthcare Automation,870%,,Rhode Island,Providence
264,Yaffe & Company,868%,,Michigan,Southfield
265,CIBT,868%,,Virginia,McLean
266,Presidio Corporation,865%,,Maryland,Lanham
267,BSG Corporation,864%,,Texas,Austin
268,Banyan Construction & Development,864%,,Florida,Clermont
269,Phelps Tool and Die Company,863%,,Missouri,Kansas City
270,Dollar Value Stores,860%,,California,West Hills
271,Triumph Technologies,857%,,Massachusetts,Burlington
272,Wayzata Technology,856%,,Minnesota,Grand Rapids
273,ACT Networks,855%,,California,Camarillo
274,Fugazy Executive Travel,854%,,Massachusetts,Boston
275,Beechwood Data Systems,841%,,New Jersey,Clark
276,ALTA Technical Services,840%,,Pennsylvania,West Chester
277,Custom Cupboards,836%,,Kansas,Wichita
278,Dominion Capital,835%,,Texas,Dallas
279,JSA Publishing,835%,,California,Santa Monica
280,Excel Management Systems,831%,,Ohio,Columbus
281,MedicaLogic,828%,,Oregon,Hillsboro
282,Florida Infusion Services,825%,,Florida,Palm Harbor
283,I-Net,825%,,Maryland,Bethesda
284,Unidata,823%,,Colorado,Denver
285,Atlanta Legal Copies,820%,Manufacturing,Georgia,Atlanta
286,Anstec,820%,,Virginia,Fairfax
287,McCue Corporation,818%,,Massachusetts,Salem
288,Zak Designs,815%,,Washington,Airway Heights
289,Bermello, Ajamil & Partners,814%,,Florida,Miami
290,PCs Plus Computer Center,812%,,Ohio,Kettering
291,Graphics Express,811%,,Massachusetts,Boston
292,Cavanaugh Gallery,808%,,California,Half Moon Bay
293,Executive Mortgage Bankers,805%,,New York,Melville
294,Logical Solutions International,802%,,New Jersey,Atco
295,Summit Technical Services,798%,,Rhode Island,Warwick
296,Mobius Computer Corporation,796%,,California,Pleasanton
297,Hedy Holmes Staffing Service,792%,,California,Stockton
298,National Safety Alliance Corporation,791%,,Tennessee,Nashville
299,Promark One Marketing Services,784%,,Arizona,Phoenix
300,Broadband Communications Products,784%,,Florida,Melbourne
301,R & D Laboratories,776%,,California,Marina del Rey
302,MFI Investments,769%,,Ohio,Bryan
303,Max Distribution,769%,,Texas,Dallas
304,Millennium Computer Corp.,766%,,New York,Rochester
305,Love Medical,751%,Advertising & Marketing,Utah,Salt Lake City
306,Orion Network Systems,752%,,Maryland,Rockville
307,Coldwater Creek,750%,,Idaho,Sandpoint
308,5WPR,748%,,New York,New York
309,National Catastrophe Adjusters,744%,,Indiana,Fishers
310,Panda Energy Corp.,741%,,Texas,Dallas
311,Custom Transportation Service,741%,,Massachusetts,Braintree
312,LaserMax,739%,,New York,Rochester
313,Green Spring Health Services,736%,,Maryland,Columbia
314,Grafton,733%,,Missouri,Kansas City
315,Daydots Label Co.,732%,,Texas,Fort Worth
316,Energy Consortium,732%,,New Jersey,Iselin
317,Medical Alliance,731%,,Texas,Irving
318,Impact Telemarketing,728%,,New Jersey,Woodbury
319,Larkin Industries,726%,,Alabama,Birmingham
320,Key Temporaries,726%,,Georgia,Atlanta
321,Superior Pharmaceutical Company,723%,,Ohio,Cincinnati
322,Donovan Group,723%,,Massachusetts,Worcester
323,Corporate Child Care Management Services,721%,,Tennessee,Nashville
324,Computers, Etc. of New Hampshire,717%,,New Hampshire,Bedford
325,Payroll Transfers,716%,Business Products & Services,Florida,Tampa
326,Boxlight,715%,,Washington,Poulsbo
327,Future Tech International,715%,,Florida,Miami
328,Lens Express,714%,,Florida,Deerfield Beach
329,Lexi International,713%,,California,Los Angeles
330,Airs International,710%,,California,Capitola
331,Allegiance Group,709%,,New York,Bellmore
332,AMMEX Corporation,708%,,Washington,Kent
333,SkillPath,707%,,Kansas,Mission
334,MAF Ground Services,706%,,Oklahoma,Tulsa
335,VisionTek,705%,,Illinois,Gurnee
336,Mustang Software,705%,,California,Bakersfield
337,Software Express,702%,,North Carolina,Charlotte
338,MicroSupply, Inc.,701%,,Washington,Bellevue
339,Tectrix Fitness Equipment,700%,,California,Irvine
340,Super 1 Inc.,700%,,Georgia,Conyers
341,Sweetwater Sound,699%,,Indiana,Fort Wayne
342,Lamont Television Systems,697%,,Connecticut,Greenwich
343,Windmill International,694%,,New Hampshire,Nashua
344,Wellington Management Corp.,694%,,Wisconsin,Brookfield
345,Corporate Environments,694%,Engineering,Georgia,Atlanta
346,HBS Computers,694%,,Illinois,Lisle
347,Commercial Financial Services,687%,,Oklahoma,Tulsa
348,Phonexpress,687%,,New Jersey,Fairfield
349,MJ Research,687%,,Massachusetts,Watertown
350,Network USA,686%,,Florida,Pensacola
351,Tybrin Corp.,684%,,Florida,Shalimar
352,Cost Management Systems,683%,,Virginia,Vienna
353,Select Design,682%,,Vermont,Burlington
354,Digicon,681%,,Maryland,Bethesda
355,Allied Telesyn International,681%,,California,Sunnyvale
356,ComPro Systems,676%,,Maryland,Jessup
357,Lai, Venuti & Lai,675%,,California,Santa Clara
358,Legato Systems,675%,,California,Palo Alto
359,M.I.G. Supply Co.,670%,,Indiana,Columbus
360,National IPF Company,669%,,Arizona,Mesa
361,Fox Integrated Technologies,667%,,California,San Jose
362,CKS Group,665%,,California,Cupertino
363,RWD Technologies,664%,,Maryland,Baltimore
364,Park City Group,664%,,Utah,Park City
365,Evinco,662%,Human Resources,Tennessee,Alcoa
366,PNY Electronics,661%,,New Jersey,Moonachie
367,CMS Automation,661%,,Virginia,Richmond
368,Special Teams,661%,,South Dakota,Brookings
369,Friendship Manor Homes,658%,,Wisconsin,Sun Prairie
370,Atlantic Network Systems,657%,,North Carolina,Cary
371,Trandes,656%,,Maryland,Lanham
372,World of Science,655%,,New York,Rochester
373,Matrix Computer Systems,652%,,Michigan,Troy
374,Programmed Solutions,651%,,Connecticut,Stamford
375,CMD Technology,650%,,California,Irvine
376,Century Personnel,649%,,Kansas,Overland Park
377,Raymond Karsan Associates,649%,,Pennsylvania,Wayne
378,Lokring Corporation,648%,,California,Foster City
379,Computer Corner,646%,,New Mexico,Albuquerque
380,Summit Medical Systems,645%,,Minnesota,Minneapolis
381,Alpha Telcom,641%,,Oregon,Grants Pass
382,Trellis Communications Corp.,640%,,New Hampshire,Manchester
383,Mendez,640%,,Colorado,Grand Junction
384,Magic Box,638%,,Florida,Miami
385,Eagle Point,638%,,Iowa,Dubuque
386,Main Street Athletic Club,636%,,California,Campbell
387,Avalon Natural Cosmetics,636%,,California,Petaluma
388,Professional Resources,635%,,Kansas,Merriam
389,Metamor Technologies,635%,,Illinois,Chicago
390,Swift Office Solutions,633%,,Arizona,Tempe
391,Premier Car Rental,633%,,Ohio,Beachwood
392,ViaSat,629%,,California,Carlsbad
393,Strategic Technologies,625%,,North Carolina,Cary
394,Power Source Distributors,624%,,Tennessee,Burns
395,Hamlin, Power and Reaves,623%,,Illinois,Springfield
396,Preferred Communication Corporation,620%,,New York,Valley Stream
397,Telamon,620%,,Indiana,Indianapolis
398,Univenture,619%,,Ohio,Columbus
399,Zweig White & Associates,618%,,Massachusetts,Natick
400,Pittsburgh Plastics Mfg.,617%,,Pennsylvania,Zelienople
401,K&M Engineering & Consulting Corp.,617%,,District of Columbia,Washington
402,Christian & Timbers,616%,,Ohio,Beachwood
403,MicroBiz Corp.,615%,,New Jersey,Mahwah
404,Saturn Electronics & Engineering,611%,,Michigan,Auburn Hills
405,Auntie Anne's,610%,Food & Beverage,Pennsylvania,Lancaster
406,Westar Systems,608%,,California,Santa Ana
407,Software Maintenance,608%,,California,Santa Ana
408,US Computer Maintenance,602%,,New York,Farmingdale
409,Knowledge Systems Corp.,602%,,North Carolina,Cary
410,Carstar Automotive,600%,,Kansas,Overland Park
411,Classic Computer Systems,599%,,Georgia,Norcross
412,Hill Physicians Medical Group,597%,,California,San Ramon
413,Select Publishing,594%,,Wisconsin,Madison
414,R2 Register Resale,594%,,Minnesota,Eagan
